row_asset,column_asset,monthly_covariance,monthly_correlation
renta_fija_nacional,renta_fija_nacional,1.93255904e-05,0.9999999999999998
renta_fija_nacional,acciones_nacionales,1.20299435e-06,0.05692750915823731
renta_fija_nacional,fondos_mutuos_nacionales,7.21271186e-08,0.08518927618166436
renta_fija_nacional,renta_variable_extranjera,-1.54058192e-06,-0.025917116684262036
renta_fija_nacional,deuda_extranjera,3.27422599e-06,0.11576611317519461
acciones_nacionales,renta_fija_nacional,1.20299435e-06,0.05692750915823731
acciones_nacionales,acciones_nacionales,2.31073446e-05,1.0
acciones_nacionales,fondos_mutuos_nacionales,7.04067797e-07,0.7604876940765594
acciones_nacionales,renta_variable_extranjera,1.47315819e-05,0.22664317034751627
acciones_nacionales,deuda_extranjera,-6.37090395e-06,-0.2059990525849708
fondos_mutuos_nacionales,renta_fija_nacional,7.21271186e-08,0.08518927618166436
fondos_mutuos_nacionales,acciones_nacionales,7.04067797e-07,0.7604876940765594
fondos_mutuos_nacionales,fondos_mutuos_nacionales,3.70932203e-08,1.0
fondos_mutuos_nacionales,renta_variable_extranjera,3.93101695e-07,0.15094749824390005
fondos_mutuos_nacionales,deuda_extranjera,-3.58779661e-07,-0.28954744146256267
renta_variable_extranjera,renta_fija_nacional,-1.54058192e-06,-0.025917116684262036
renta_variable_extranjera,acciones_nacionales,1.47315819e-05,0.22664317034751627
renta_variable_extranjera,fondos_mutuos_nacionales,3.93101695e-07,0.15094749824390005
renta_variable_extranjera,renta_variable_extranjera,0.000182836734,1.0
renta_variable_extranjera,deuda_extranjera,3.11742825e-05,0.35834712553699144
deuda_extranjera,renta_fija_nacional,3.27422599e-06,0.11576611317519461
deuda_extranjera,acciones_nacionales,-6.37090395e-06,-0.2059990525849708
deuda_extranjera,fondos_mutuos_nacionales,-3.58779661e-07,-0.28954744146256267
deuda_extranjera,renta_variable_extranjera,3.11742825e-05,0.35834712553699144
deuda_extranjera,deuda_extranjera,4.13924972e-05,0.9999999999999999
