representative_quantile,path_id,month,age,labor_state,potential_wage_uf,contribution_uf,fund_id,monthly_return,opening_balance_uf,closing_balance_uf
p10,draw_02681,1,21.0,cotizando,25.0,3.6249999999999996,FG01,-0.001034820166857157,0.0,3.6212487768951425
p10,draw_02681,2,21.083333333333332,cotizando,25.0,3.6249999999999996,FG01,-0.007652555699590615,3.6212487768951425,7.19079645451686
p10,draw_02681,3,21.166666666666668,cotizando,25.0,3.6249999999999996,FG01,0.00401252511082147,7.19079645451686,10.859195109384142
p10,draw_02681,4,21.25,cotizando,25.0,3.6249999999999996,FG01,-0.00386029425193421,10.859195109384142,14.428281854259493
p10,draw_02681,5,21.333333333333332,cotizando,25.0,3.6249999999999996,FG01,0.006823063873481444,14.428281854259493,18.176460549477067
p10,draw_02681,6,21.416666666666668,cotizando,25.0,3.6249999999999996,FG01,0.0030751147675601304,18.176460549477067,21.868502542767143
p10,draw_02681,7,21.5,cotizando,25.0,3.6249999999999996,FG01,0.0026840420857458507,21.868502542767143,25.561928176505
p10,draw_02681,8,21.583333333333332,cotizando,25.0,3.6249999999999996,FG01,0.005854727785687533,25.561928176505,29.35780969587885
p10,draw_02681,9,21.666666666666668,cotizando,25.0,3.6249999999999996,FG01,-0.007180863397352843,29.35780969587885,32.74596464499186
p10,draw_02681,10,21.75,desempleado,25.0,0.0,FG01,-0.0064205701482361105,32.74596464499186,32.535716881917025
p10,draw_02681,11,21.833333333333332,cotizando,25.0,3.6249999999999996,FG01,-0.010689078178631692,32.535716881917025,35.77419215217085
p10,draw_02681,12,21.916666666666668,cotizando,25.0,3.6249999999999996,FG01,-0.0012433176937797525,35.77419215217085,39.350206439447426
p10,draw_02681,13,22.0,cotizando,25.0,3.6249999999999996,FG01,0.00868168105572903,39.350206439447426,43.34830347505882
p10,draw_02681,14,22.083333333333332,cotizando,25.0,3.6249999999999996,FG01,0.005443985197486082,43.34830347505882,47.22902544385406
p10,draw_02681,15,22.166666666666668,cotizando,25.0,3.6249999999999996,FG01,-0.0022663506233850076,47.22902544385406,50.73877239158775
p10,draw_02681,16,22.25,cotizando,25.0,3.6249999999999996,FG01,-2.24920696481632e-05,50.73877239158775,54.36254963783278
p10,draw_02681,17,22.333333333333332,cotizando,25.0,3.6249999999999996,FG01,0.0006108840190613814,54.36254963783278,58.02297330521105
p10,draw_02681,18,22.416666666666668,cotizando,25.0,3.6249999999999996,FG01,0.0027295327487123554,58.02297330521105,61.81624346723938
