period,uf_clp,tope_uf,uf_convention,uf_source,tope_source
2008-01,19737.85,60.0,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2008.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2008-02,19766.45,60.0,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2008.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2008-03,19822.53,60.0,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2008.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2008-04,19956.52,60.0,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2008.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2008-05,20061.03,60.0,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2008.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2008-06,20252.71,60.0,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2008.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2008-07,20541.21,60.0,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2008.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2008-08,20790.98,60.0,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2008.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2008-09,20988.34,60.0,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2008.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2008-10,21208.85,60.0,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2008.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2008-11,21410.18,60.0,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2008.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2008-12,21452.57,60.0,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2008.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2009-01,21263.38,60.0,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2009.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2009-02,21073.81,60.0,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2009.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2009-03,20959.77,60.0,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2009.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2009-04,20993.97,60.0,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2009.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2009-05,20989.29,60.0,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2009.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2009-06,20933.02,60.0,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2009.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2009-07,20958.67,60.0,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2009.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2009-08,20917.32,60.0,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2009.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2009-09,20834.45,60.0,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2009.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2009-10,20956.89,60.0,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2009.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2009-11,21017.51,60.0,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2009.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2009-12,20942.88,60.0,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2009.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2010-01,20867.88,64.7,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2010.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2010-02,20920.36,64.7,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2010.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2010-03,20998.52,64.7,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2010.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2010-04,21031.5,64.7,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2010.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2010-05,21112.41,64.7,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2010.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2010-06,21202.16,64.7,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2010.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2010-07,21227.57,64.7,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2010.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2010-08,21317.88,64.7,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2010.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2010-09,21339.99,64.7,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2010.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2010-10,21394.11,64.7,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2010.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2010-11,21433.91,64.7,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2010.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
2010-12,21455.55,64.7,calendar_month_end,https://www.sii.cl/pagina/valores/uf/uf2010.htm,https://www.spensiones.cl/portal/institucional/594/articles-7206_libroVIIedicion.pdf
