month,return_A,return_B,return_C,return_D,return_E,year
0,0.008679999999999998,0.007170000000000001,0.00566,0.003915,0.002405,0.0
1,0.009827486142760198,0.008108241270382193,0.006388996398004185,0.004399877380229845,0.0026806325078518375,0.08333333333333333
2,0.010336206183524772,0.008540174959521593,0.006744143735518414,0.0046654406408480386,0.0028694094168448593,0.16666666666666666
3,0.0104171986309609,0.00862773021758904,0.00683826180421718,0.004767215321950011,0.0029777469085781496,0.25
4,0.010379008735728586,0.008610450551609484,0.006841892367490381,0.00479524115268476,0.003026682968565656,0.3333333333333333
5,0.01051342867575762,0.008716066218775154,0.006918703761792685,0.0048384475619798065,0.003041085104997338,0.4166666666666667
6,0.010989733509961241,0.009077579051089309,0.007165424592217375,0.00495124439020012,0.003039089931328186,0.5
7,0.011791674204378292,0.009683756975906503,0.007575839747434711,0.005133269647550956,0.003025352419079165,0.5833333333333334
8,0.012717636852109058,0.010379073970584868,0.008040511089060677,0.005328854393949121,0.0029902915124249297,0.6666666666666666
9,0.013444027579963425,0.010913164527114121,0.008382301474264815,0.005446294579273959,0.0029154315264246526,0.75
10,0.01363158239112461,0.011023884006241587,0.008416185621358563,0.005390537505661702,0.0027828391207786775,0.8333333333333334
11,0.013040418595664313,0.010527173081269832,0.008013927566875351,0.0050984744667484545,0.0025852289523539715,0.9166666666666666
12,0.011616666806495842,0.009384592626126972,0.0071525184457581015,0.004565098568661086,0.0023330243882922156,1.0
13,0.009522408502175396,0.007726377278172219,0.0059303460541690394,0.0038516429594986647,0.0020556117354954854,1.0833333333333333
14,0.0070985786152718815,0.005821939509890885,0.004545300404509887,0.003072554781565391,0.001795915676184394,1.1666666666666667
15,0.004771779756822687,0.004006467087098065,0.0032411544173734422,0.002364956302694715,0.001599643632970092,1.25
16,0.0029338272984144043,0.0025862799191449025,0.002238732539875401,0.0018499272640609824,0.0015023798847914808,1.3333333333333333
17,0.0018316138323691796,0.0017524801386480336,0.001673346444926888,0.0015976904689188843,0.0015185567751977384,1.4166666666666667
18,0.00150174536927232,0.0015299427901425368,0.001558140211012754,0.0016077038686946742,0.001635901289564891,1.5
19,0.0017703365107813506,0.0017776237023988113,0.001784910894016272,0.001810079284236643,0.0018173664758541035,1.5833333333333333
20,0.00231780528830527,0.002240002827563413,0.0021622003668215553,0.002088097495956055,0.002010295035214198,1.6666666666666667
